Rk,Player,Salary,Conference,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
37,Darius Bazley,2399160,W,PF,20,OKC,37,37,30.8,4.5,11.2,0.398,1.5,5.1,0.3,2.9,6.1,0.48,0.466,1.5,2.2,0.704,0.6,6.9,7.5,1.6,0.5,0.6,1.9,0.9,12
38,Bradley Beal,28751775,E,SG,27,WAS,43,43,35.2,10.9,22.3,0.486,2.2,6.4,0.343,8.7,15.9,0.544,0.535,7,7.8,0.901,1.1,3.8,4.9,4.8,1.2,0.4,3.4,2.4,30.9
39,Malik Beasley,13325895,W,SG,24,MIN,37,36,32.8,7.1,16.2,0.44,3.5,8.7,0.399,3.7,7.5,0.487,0.547,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6
41,DeAndre' Bembry,1737145,E,SF,26,TOR,36,10,18.1,2.3,4.1,0.547,0.3,0.9,0.273,2,3.2,0.626,0.578,0.7,1.1,0.667,0.6,2.1,2.7,2.1,0.8,0.4,1.2,1.6,5.5
42,D?vis Bert?ns,15000000,E,PF,28,WAS,39,5,24.5,3.3,8.2,0.402,2.9,7.3,0.395,0.4,0.9,0.457,0.578,1.6,1.9,0.865,0.4,2.5,2.9,0.9,0.6,0.2,0.6,2.5,11.2
43,Patrick Beverley,13333333,W,PG,32,LAC,31,31,23.4,2.6,6.1,0.432,1.7,4,0.416,1,2.1,0.462,0.568,1.1,1.3,0.805,0.9,2.7,3.6,2.1,0.8,0.8,0.9,3.1,8
44,Saddiq Bey,2689920,E,SF,21,DET,51,34,25,3.5,8.8,0.404,2.3,6,0.376,1.3,2.8,0.465,0.532,1.6,1.8,0.879,0.5,3.5,4,1.3,0.6,0.1,0.7,1.6,10.9
46,Khem Birch,3000000,E,C,28,ORL,48,5,19.8,2,4.4,0.45,0.1,0.4,0.19,1.9,3.9,0.479,0.459,1.3,1.8,0.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3
47,Goga Bitadze,2957520,E,C,21,IND,32,1,10.7,1.9,4,0.488,0.3,1.3,0.256,1.6,2.6,0.607,0.531,0.7,1,0.697,1.3,1.6,2.9,0.7,0.2,1.1,0.4,1.9,4.9
48,Bismack Biyombo,2331593,E,C,28,CHO,47,28,21.3,2.3,3.9,0.576,0,0,0,2.3,3.9,0.579,0.576,0.8,1.7,0.481,2,3.2,5.2,1.3,0.3,1.1,1,2.4,5.3
49,Nemanja Bjelica,7150000,E,PF,32,MIA,6,0,12.5,1.5,3.7,0.409,0.5,2.3,0.214,1,1.3,0.75,0.477,0.2,0.5,0.333,0.2,2.3,2.5,1.3,0.3,0.3,0.5,2.3,3.7
49,Nemanja Bjelica,7150000,W,PF,32,SAC,26,1,16.9,2.7,5.8,0.46,0.7,2.2,0.293,2,3.5,0.565,0.517,1.2,1.6,0.762,0.9,2.9,3.8,1.9,0.3,0.1,1.1,1.8,7.2
50,Eric Bledsoe,16875000,W,SG,31,NOP,51,50,30.1,4.2,10.2,0.414,1.8,5.1,0.363,2.4,5.1,0.465,0.505,1.7,2.4,0.702,0.4,3,3.4,3.8,0.7,0.3,1.6,1.6,12
52,Bogdan Bogdanovi?,18000000,E,SG,28,ATL,28,11,26.4,4.8,10.5,0.452,2.4,6.1,0.392,2.4,4.4,0.537,0.566,0.8,0.8,0.913,0.5,3,3.5,2.9,0.8,0.3,1.1,2.3,12.6
53,Bojan Bogdanovi?,17850000,W,SF,31,UTA,53,53,30.2,4.9,11.7,0.415,2.3,6.2,0.378,2.5,5.5,0.456,0.514,2.6,3.1,0.859,0.5,3.4,3.9,1.8,0.5,0.1,1.4,1.6,14.7
54,Bol Bol,2058240,W,PF,21,DEN,21,2,5.2,0.9,1.8,0.5,0.4,0.9,0.5,0.5,1,0.5,0.618,0.2,0.4,0.556,0,0.8,0.8,0.3,0.1,0.4,0.4,0.6,2.5
57,Isaac Bonga,1663861,E,SF,21,WAS,32,7,11.3,0.8,2,0.369,0.3,1.2,0.289,0.4,0.8,0.481,0.454,0.1,0.2,0.5,0.5,1.3,1.9,0.6,0.3,0.2,0.5,1.7,1.9
58,Devin Booker,29430000,W,SG,24,PHO,48,48,34,9.5,19.3,0.494,2.1,5.8,0.357,7.4,13.5,0.553,0.548,4.9,5.7,0.858,0.4,3.8,4.1,4.5,0.9,0.3,3.2,2.8,26
59,Chris Boucher,6490385,E,C,28,TOR,53,8,23.6,4.8,9.4,0.516,1.5,3.8,0.387,3.3,5.5,0.606,0.596,2.5,3.2,0.776,1.9,4.5,6.5,1,0.6,1.9,0.8,2.7,13.6
61,Avery Bradley,5635000,W,SG,30,HOU,8,2,22.4,2.4,6.6,0.358,1,3.8,0.267,1.4,2.9,0.478,0.434,0.4,0.5,0.75,0.4,2.1,2.5,1.9,0.5,0.1,0.8,2,6.1
61,Avery Bradley,5635000,E,SG,30,MIA,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
62,Tony Bradley,3542060,W,C,23,OKC,8,0,21.1,4.1,6.5,0.635,0,0.3,0,4.1,6.3,0.66,0.635,1.5,2.1,0.706,2.3,5.3,7.5,1.3,0.4,1.1,1.6,2.1,9.8
62,Tony Bradley,3542060,E,C,23,PHI,20,8,14.4,2.6,3.8,0.68,0,0.1,0,2.6,3.7,0.689,0.68,0.4,0.6,0.636,2,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5
64,Ignas Brazdeikis,1517981,E,SF,22,NYK,4,0,1.8,0,0.3,0,0,0,,0,0.3,0,0,0.5,0.5,1,0.3,0.3,0.5,0.3,0,0,0.3,0,0.5
64,Ignas Brazdeikis,1517981,E,F,22,PHI,1,0,8,0,3,0,0,1,0,0,2,0,0,0,0,,0,2,2,0,0,0,0,0,0
65,Mikal Bridges,4359000,W,SF,24,PHO,52,52,32.3,5,9.4,0.529,1.8,4.3,0.41,3.2,5.2,0.627,0.621,1.6,1.9,0.828,1.2,3.5,4.7,2.2,0.9,0.9,0.8,1.6,13.3
66,Miles Bridges,3934320,E,PF,22,CHO,51,5,27.2,3.9,7.7,0.504,1.4,3.5,0.391,2.5,4.2,0.599,0.593,1.3,1.5,0.892,1.3,4.5,5.7,2,0.6,0.7,1.6,2.1,10.4
